in:WWR N-W,in:WWR S-E,in:SHGC N-W,in:SHGC S-E,in:EXT SHADING N-W,in:EXT SHADING S-E,out:EUI (kWh/m2/yr),out:PEAK COOLING (kW),out:PEAK HEATING (kW),out:Thermal Comfort (%),out:sDA (Area %),img
0.4,0.5,g33,g25,1,0,79.146,316.312685,190.726015,96.459884,97.155026,WWRN-W0.4_WWRS-E0.5_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.5,0.5,g33,g25,1,0,79.64,328.7996,193.719772,96.418528,97.202323,WWRN-W0.5_WWRS-E0.5_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.3,0.3,g45,g25,1,0,77.459,259.382043,180.768229,96.527433,87.59202,WWRN-W0.3_WWRS-E0.3_SHGCN-Wg45_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.4,0.3,g45,g25,1,0,77.869,269.924857,183.831474,96.48332,94.983628,WWRN-W0.4_WWRS-E0.3_SHGCN-Wg45_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.5,0.3,g45,g25,1,0,78.336,281.586471,186.848292,96.462641,94.999377,WWRN-W0.5_WWRS-E0.3_SHGCN-Wg45_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.3,0.4,g45,g25,1,0,78.023,281.907859,184.299351,96.521919,89.61325,WWRN-W0.3_WWRS-E0.4_SHGCN-Wg45_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.4,0.4,g45,g25,1,0,78.449,292.598087,187.360775,96.492969,97.229772,WWRN-W0.4_WWRS-E0.4_SHGCN-Wg45_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.5,0.4,g45,g25,1,0,78.929,303.797612,190.337333,96.465398,97.094458,WWRN-W0.5_WWRS-E0.4_SHGCN-Wg45_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.3,0.5,g45,g25,1,0,78.694,305.013076,187.707564,96.515026,89.546788,WWRN-W0.3_WWRS-E0.5_SHGCN-Wg45_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.4,0.5,g45,g25,1,0,79.129,315.173562,190.726015,96.47367,97.155026,WWRN-W0.4_WWRS-E0.5_SHGCN-Wg45_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.5,0.5,g45,g25,1,0,79.629,326.828008,193.719772,96.447477,97.202323,WWRN-W0.5_WWRS-E0.5_SHGCN-Wg45_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.3,0.3,g55,g25,1,0,77.453,257.530004,180.768229,96.553626,87.59202,WWRN-W0.3_WWRS-E0.3_SHGCN-Wg55_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.4,0.3,g55,g25,1,0,77.86,267.278318,183.831474,96.528812,94.983628,WWRN-W0.4_WWRS-E0.3_SHGCN-Wg55_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.5,0.3,g55,g25,1,0,78.325,277.819084,186.848292,96.502619,94.999377,WWRN-W0.5_WWRS-E0.3_SHGCN-Wg55_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.3,0.4,g55,g25,1,0,78.005,279.704277,184.299351,96.546733,89.61325,WWRN-W0.3_WWRS-E0.4_SHGCN-Wg55_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.4,0.4,g55,g25,1,0,78.428,289.642095,187.360775,96.52054,97.229772,WWRN-W0.4_WWRS-E0.4_SHGCN-Wg55_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.5,0.4,g55,g25,1,0,78.905,300.222266,190.337333,96.501241,97.094458,WWRN-W0.5_WWRS-E0.4_SHGCN-Wg55_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.3,0.5,g55,g25,1,0,78.667,302.60372,187.707564,96.542597,89.546788,WWRN-W0.3_WWRS-E0.5_SHGCN-Wg55_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.4,0.5,g55,g25,1,0,79.095,311.955235,190.726015,96.510891,97.155026,WWRN-W0.4_WWRS-E0.5_SHGCN-Wg55_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.5,0.5,g55,g25,1,0,79.582,322.354966,193.719772,96.486077,97.202323,WWRN-W0.5_WWRS-E0.5_SHGCN-Wg55_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.3,0.3,g33,g33,1,0,77.433,238.988229,180.768229,96.508133,87.59202,WWRN-W0.3_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.4,0.3,g33,g33,1,0,77.777,246.780756,183.831474,96.488834,94.983628,WWRN-W0.4_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.5,0.3,g33,g33,1,0,78.163,256.133564,186.848292,96.466777,94.999377,WWRN-W0.5_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.3,0.4,g33,g33,1,0,77.873,255.126938,184.299351,96.503998,89.61325,WWRN-W0.3_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.4,0.4,g33,g33,1,0,78.23,263.4667,187.360775,96.476427,97.229772,WWRN-W0.4_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg33_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
